search_id;type of propery;Postcode;Link;Available as of;Available date;Neighbourhood or locality;Construction year;Floor;Number of floors;Building condition;Number of frontages;Surroundings type;Living area;Living room surface;Kitchen type;Kitchen surface;Bedrooms;Bedroom 1 surface;Bathrooms;Toilets;Furnished;Terrace surface;Elevator;Accessible for disabled people;Visio phone;Swimming pool;Primary energy consumption;Energy class;;Reference number of the EPC report;CO₂ emission;Yearly theoretical total energy consumption;As built plan;Heating type;Thermic solar panels;Double glazing;Planning permission obtained;Subdivision permit;Possible priority purchase right;Flood zone type;Latest land use designation;Price;Cadastral income;Tenement building;Address;Website;External reference;Covered parking spaces;Outdoor parking spaces;Bedroom 2 surface;Bedroom 3 surface;Office surface;Office;Dining room;Basement;Armored door;Caretaker;Monthly charges;Street frontage width;Shower rooms;Intercom;Total ground floor buildable;Extra information;Agent's name;Living room;Dressing room;Laundry room;Professional space;Surface of the plot;Gas, water & electricity;Terrace;Secure access / alarm;Photovoltaic solar panels;Property name;Terrace orientation;Air conditioning;Common water heater;TV cable;Connection to sewer network;Jacuzzi;Sauna;E-level (overall energy performance);Heat pump;Proceedings for breach of planning regulations;Garden;Garden orientation;Width of the lot on the street;Virtual visit;Bedroom 4 surface;Attic;Garden surface;How many fireplaces?;Professional space surface;Basement surface;Attic surface;Obligation to build;Bedroom 5 surface;Land is facing street;Wooded land;Plot at rear;Flat land;Internet;Conformity certification for fuel tanks;Type of building;Lump sum;Monthly annuity;Indexed annuity;Reversionary annuity;Bare ownership sale;Number of annuitants;Age of annuitant;Maximum duration of annuity
9900387;Evora;1140;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evere/1140/9900387?searchId=6298cd702c3cf;At delivery;July 1 2022 - 12:00 AM;Residentiële wijk;2022;1;3;As new;3;Isolated;81;30;USA hyper equipped;6;2;16;1;2;No;5;Yes;Yes;Yes;No;Not specified;Not specified;Not specified;Not specified;Not specified;No;Gas;Yes;Yes;1000;No;No;Non flood zone;Residential park;;No;No;;Foreestelaan 86/201;;4782518;11;11;14;15;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9929996;Chaussée d'Ixelles;1050;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ixelles/1050/9929996?searchId=6298cd702c3cf;Immediately;July 1 2022 - 12:00 AM;'Piétonnier Chaussée d'Ixelles';2022;1;3;As new;3;Isolated;81;30;USA hyper equipped;6;2;16;1;2;No;5;Yes;Yes;Yes;No;Not specified;Not specified;Not specified;Not specified;Not specified;Yes;Gas;Yes;Yes;1000;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;Residential park;;No;No;;Rue du Monastère 24;;4782518;11;11;14;15;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9935245;Apartment;1090;https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/9935245?searchId=6298cd702c3cf;After signing the deed;July 1 2022 - 12:00 AM;bruxelles;2022;2;3;As new;3;Isolated;88;30;USA hyper equipped;6;2;16;1;2;No;10;Yes;Yes;Yes;No;78;B;Not specified;23 kg CO₂/m²;Not specified;Yes, conform;Gas;Yes;Yes;1000;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;Residential park;;No;No;;Avenue Louise 231;;4782524;11;11;14;15;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9938723;Apartment;1000;https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/9938723?searchId=6298cd702c3cf;After signing the deed;March 31 2022 - 12:00 AM;bruxelles;2021;1;7;As new;3;Urban;129;40;USA hyper equipped;6;3;16;2;2;No;12;Yes;Yes;Yes;No;30;A;1;5 kg CO₂/m²;Not specified;Gas;Gas;Non flood zone;Yes;1000;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;;;No;No;;Avenue Baron Albert d'Huart 130;;4784016;11;11;11;10;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9938722;Penthouse;1000;https://www.immoweb.be/en/classified/penthouse/for-sale/brussels-city/1000/9938722?searchId=6298cd702c3cf;After signing the deed;May 31 2022 - 12:00 AM;bruxelles;2021;12;12;As new;3;Urban;220;70;USA hyper equipped;6;2;26;2;2;No;27;Yes;Yes;Yes;No;30;A;1;5 kg CO₂/m²;Not specified;Gas;Gas;Non flood zone;Yes;1000;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;;;No;No;;Avenue Baron Albert d'Huart 130;;4784011;11;11;12;10;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9881253;Cambre Student Living;1000;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussels-city/1000/9881253?searchId=6298cd702c3cf;At delivery;May 31 2022 - 12:00 AM;Cambre;2021;12;12;As new;3;Urban;220;70;USA hyper equipped;6;2;26;2;2;No;27;Yes;Yes;Yes;No;Not specified;Not specified;Not specified;Not specified;Not specified;No;Gas;Non flood zone;Yes;1000;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;;;No;No;;Chausée de Bruxelles 135 A;;4784011;11;11;12;10;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;Aurore Orbant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9914498;Teunishof;2980;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-antonius/2980/9914498?searchId=6298cd702c3cf;At delivery;May 31 2022 - 12:00 AM;Cambre;2021;12;12;As new;3;Urban;220;70;USA hyper equipped;6;2;26;2;2;No;27;Yes;Yes;Yes;No;Not specified;Not specified;Not specified;Not specified;Not specified;Not specified;Gas;Non flood zone;Yes;1000;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;;;No;No;No;;Industrielaan 41;4784011;11;11;12;10;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;Aurore Orbant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9944788;Villa;1330;https://www.immoweb.be/en/classified/villa/for-sale/rixensart/1330/9944788;;May 31 2022 - 12:00 AM;Cambre;After signing the deed;12;12;2009;As new;Urban;8;70;Yes;6;Hyper equipped;26;Yes;2;Yes;27;Yes;Yes;Yes;No;Yes;68;A;20210225022194;12 kg CO₂/m²;Not specified;Gas;Gas;Yes;Yes;"Real estate project entirely refurbished and finished in 2022 with retail and flats going from one to two bedrooms. State of the art project in a trendy neighbourhood located between Avenue Louise and the European district!
No VAT.";No;Non flood zone;;;;;No;;Avenue Capouillet 58 A;4784011;4;6;12;10;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;Aurore Orbant;850;8;6;Yes;No;207;Yes;Yes;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9944787;Apartment;8630;https://www.immoweb.be/en/classified/apartment/for-sale/veurne/8630/9944787;;May 31 2022 - 12:00 AM;Cambre;Vue;2022;1;4;As new;As new;Living area (residential, urban or rural);70;Yes;6;Installed;26;2;1;Yes;No;South East;Yes;Yes;No;Yes;Not specified;A;Not specified;Not specified;Not specified;Gas;Not specified;Yes;Yes;Yes;No;Non flood zone;;;Yes;;;No;;4784011;4;6;12;10;7;Yes;Yes;Yes;Yes;Yes;;40 m;1;Yes;No;No;Aurore Orbant;93;8;1;Yes;No;207;Yes;Yes;Yes;At delivery;11;Yes;Gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9944778;House;7340;https://www.immoweb.be/en/classified/house/for-sale/colfontaine/7340/9944778;;May 31 2022 - 12:00 AM;Cambre;Vue;2022;1;Foreestelaan 86/201;;As new;To be done up;70;Yes;3;150;26;12;1;3;Connected;Yes;2;Yes;No;No;No;397;E;20220518011865;Not specified;Gas;397;No;No;Yes;Yes;No;No;Non flood zone;Another type of area;;;No;;4784011;4;6;12;10;7;Yes;Yes;Yes;No;Yes;;40 m;1;Yes;No;No;Aurore Orbant;93;8;1;Yes;No;220;Yes;No;No;At delivery;11;Yes;No;No;Yes;No;Yes;90253 kWh/year;Gas;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;
